SEROTYPE_ID	SUBGENUS_ID	DESCRIPTION
NOT_SALMONELLA	NotApp	Not Applicable
ORION	I	I - Salmonella enterica enterica
KIVU	I	I - Salmonella enterica enterica
ILUGUM	I	 
ILUGUN	I	I - Salmonella enterica enterica
"4,5,12:I:-"	I	I - Salmonella enterica enterica
CROFT	I	I - Salmonella enterica enterica
TANANRIVE	I	I - Salmonella enterica enterica
TANANARIVE	I	I - Salmonella enterica enterica
FRINTROP	I	I - Salmonella enterica enterica
"4,5:I:-"	I	I - Salmonella enterica enterica
"4,5:-:1,2"	I	I - Salmonella enterica enterica
"4,12:I:-"	I	I - Salmonella enterica enterica
"4,12:-:1,2"	I	I - Salmonella enterica enterica
"4,5,12:-:1,2"	I	I - Salmonella enterica enterica
"4,12:-:-NM"	I	I - Salmonella enterica enterica
"4,5,12:-:-NM"	I	I - Salmonella enterica enterica
"O_ROUGH:I:1,2"	I	I - Salmonella enterica enterica
"O_ROUGH:-:1,2"	I	I - Salmonella enterica enterica
O_ROUGH:I:-	I	I - Salmonella enterica enterica
O_ROUGH:GM:-	I	I - Salmonella enterica enterica
"9,12:-:-"	I	I - Salmonella enterica enterica
"6,7:R:-"	I	I - Salmonella enterica enterica
"6,7:-:1,2"	I	I - Salmonella enterica enterica
"O_ROUGH:R:1,2"	I	I - Salmonella enterica enterica
"6,8:Z10:-"	I	I - Salmonella enterica enterica
"6,8:-:ENX"	I	I - Salmonella enterica enterica
O_ROUGH:Z10:ENX	I	I - Salmonella enterica enterica
CHOLERAESUIS-V	I	I - Salmonella enterica enterica
HITHERGREEN	I	I - Salmonella enterica enterica
HIVERSUM	I	I - Salmonella enterica enterica
HOFIT	I	I - Salmonella enterica enterica
HOLCOMB	I	I - Salmonella enterica enterica
HULL	I	I - Salmonella enterica enterica
HVITTINGFOSS	I	I - Salmonella enterica enterica
IBADAN	I	I - Salmonella enterica enterica
IDIKAN	I	I - Salmonella enterica enterica
INDIANA	I	I - Salmonella enterica enterica
INFANTIS	I	I - Salmonella enterica enterica
INGANDA	I	I - Salmonella enterica enterica
IPSWICH	I	I - Salmonella enterica enterica
IRUMU	I	I - Salmonella enterica enterica
ISANGI	I	I - Salmonella enterica enterica
ISTANBUL	I	I - Salmonella enterica enterica
ITURI	I	I - Salmonella enterica enterica
JANGWANI	I	I - Salmonella enterica enterica
JAVA	I	I - Salmonella enterica enterica
JAVIANA	I	I - Salmonella enterica enterica
BERKELEY	I	Salmonella enterica enterica
BAILDON	I	I - Salmonella enterica enterica
JEDBURGH	I	I - Salmonella enterica enterica
JERUSALEM	I	I - Salmonella enterica enterica
JODHPUR	I	I - Salmonella enterica enterica
JOHANNESBURG	I	I - Salmonella enterica enterica
KAAPSTAD	I	I - Salmonella enterica enterica
KALAMU	I	I - Salmonella enterica enterica
KAMORU	I	I - Salmonella enterica enterica
KAMPALA	I	I - Salmonella enterica enterica
KANDLA	I	I - Salmonella enterica enterica
KAPEMBA	I	I - Salmonella enterica enterica
KARACHI	I	I - Salmonella enterica enterica
KEDOUGOU	I	I - Salmonella enterica enterica
KENTUCKY	I	I - Salmonella enterica enterica
KIAMBU	I	I - Salmonella enterica enterica
KIBI	I	I - Salmonella enterica enterica
KIBUSI	I	I - Salmonella enterica enterica
KIMUENZA	I	I - Salmonella enterica enterica
KINGABWA	I	I - Salmonella enterica enterica
KINGSTON	I	I - Salmonella enterica enterica
KINTAMBO	I	I - Salmonella enterica enterica
KISARAWE	I	I - Salmonella enterica enterica
KODJOVI	I	I - Salmonella enterica enterica
KOKOMLEMLE	I	I - Salmonella enterica enterica
KOTTBUS	I	I - Salmonella enterica enterica
KREFELD	I	I - Salmonella enterica enterica
KUA	I	I - Salmonella enterica enterica
KUBACHA	I	I - Salmonella enterica enterica
KUESSEL	I	I - Salmonella enterica enterica
LAMBERHURST	I	I - Salmonella enterica enterica
LAMIN	I	I - Salmonella enterica enterica
LANCASTER	I	I - Salmonella enterica enterica
LANDWASSER	I	I - Salmonella enterica enterica
LANSING	I	I - Salmonella enterica enterica
LAROCHELLE	I	I - Salmonella enterica enterica
LEATHERHEAD	I	I - Salmonella enterica enterica
LEIDEN	I	I - Salmonella enterica enterica
LEXINGTON	I	I - Salmonella enterica enterica
LILLE	I	I - Salmonella enterica enterica
LITCHFIELD	I	I - Salmonella enterica enterica
LIVERPOOL	I	I - Salmonella enterica enterica
LIVINGSTONE	I	I - Salmonella enterica enterica
LLANDOFF	I	I - Salmonella enterica enterica
LLOBREGAT	I	I - Salmonella enterica enterica
LOCKLEAZE	I	I - Salmonella enterica enterica
LOMALINDA	I	I - Salmonella enterica enterica
LOME	I	I - Salmonella enterica enterica
LOMITA	I	I - Salmonella enterica enterica
LONDON	I	I - Salmonella enterica enterica
LUCKENWALDE	I	I - Salmonella enterica enterica
LUKE	I	I - Salmonella enterica enterica
MADJORIO	I	I - Salmonella enterica enterica
MALSTATT	I	I - Salmonella enterica enterica
MANCHESTER	I	I - Salmonella enterica enterica
MANHATTAN	I	I - Salmonella enterica enterica
MARA	I	I - Salmonella enterica enterica
MARACAIBO	I	I - Salmonella enterica enterica
MASSAKORY	I	I - Salmonella enterica enterica
MASSENYA	I	I - Salmonella enterica enterica
MATADI	I	I - Salmonella enterica enterica
MATOPENI	I	I - Salmonella enterica enterica
MBANDAKA	I	I - Salmonella enterica enterica
MELEAGRIDIS	I	I - Salmonella enterica enterica
MENSTON	I	I - Salmonella enterica enterica
MIAMI	I	I - Salmonella enterica enterica
MICHIGAN	I	I - Salmonella enterica enterica
MIKALASIMA	I	I - Salmonella enterica enterica
MILLESI	I	I - Salmonella enterica enterica
MINNESOTA	I	I - Salmonella enterica enterica
MISHMARHAEMEK	I	I - Salmonella enterica enterica
MISSISSIPPI	I	I - Salmonella enterica enterica
MOERO	I	I - Salmonella enterica enterica
MOLADE	I	I - Salmonella enterica enterica
MONS	I	I - Salmonella enterica enterica
MONSCHAUI	I	I - Salmonella enterica enterica
MONTEVIDEO	I	I - Salmonella enterica enterica
MOREHEAD	I	I - Salmonella enterica enterica
MORNINGSIDE	I	I - Salmonella enterica enterica
MOUNTPLEASANT	I	I - Salmonella enterica enterica
MPOUTO	I	I - Salmonella enterica enterica
MUENCHEN	I	I - Salmonella enterica enterica
MUENSTER	I	I - Salmonella enterica enterica
NAGOYA	I	I - Salmonella enterica enterica
NAPOLI	I	I - Salmonella enterica enterica
NCHANGA	I	I - Salmonella enterica enterica
NDOLO	I	I - Salmonella enterica enterica
NESSZIONA	I	I - Salmonella enterica enterica
NEWPORT	I	I - Salmonella enterica enterica
NEWYORK	I	I - Salmonella enterica enterica
NIAREMBE	I	I - Salmonella enterica enterica
NIGERIA	I	I - Salmonella enterica enterica
NIMA	I	I - Salmonella enterica enterica
NOTTINGHAM	I	I - Salmonella enterica enterica
NOYA	I	I - Salmonella enterica enterica
AJIOBO	I	I - Salmonella enterica enterica
ALACHUA	I	I - Salmonella enterica enterica
ALBANY	I	I - Salmonella enterica enterica
ALBERT	I	I - Salmonella enterica enterica
ALTONA	I	I - Salmonella enterica enterica
AMAGER	I	I - Salmonella enterica enterica
AMERSFOORT	I	I - Salmonella enterica enterica
AMHERSTIANA	I	I - Salmonella enterica enterica
AMINA	I	I - Salmonella enterica enterica
AMOUNDERNESS	I	I - Salmonella enterica enterica
AMSTERDAM	I	I - Salmonella enterica enterica
ANATUM	I	I - Salmonella enterica enterica
ANECHO	I	I - Salmonella enterica enterica
ANFO	I	I - Salmonella enterica enterica
ANGERS	I	I - Salmonella enterica enterica
ANGODA	I	I - Salmonella enterica enterica
ANK	I	I - Salmonella enterica enterica
ANTSALOVA	I	I - Salmonella enterica enterica
APEYEME	I	I - Salmonella enterica enterica
AQUA	I	I - Salmonella enterica enterica
ARECHAVALETA	I	I - Salmonella enterica enterica
ASHANTI	I	I - Salmonella enterica enterica
ATHINAI	I	I - Salmonella enterica enterica
AUGUSTENBORG	I	I - Salmonella enterica enterica
AZTECA	I	I - Salmonella enterica enterica
BANANA	I	I - Salmonella enterica enterica
BARDO	I	I - Salmonella enterica enterica
BAREILLY	I	I - Salmonella enterica enterica
BARRANQUILLA	I	I - Salmonella enterica enterica
BEAUDESERT	I	I - Salmonella enterica enterica
BERE	I	I - Salmonella enterica enterica
BERGEN	I	I - Salmonella enterica enterica
BERTA	I	I - Salmonella enterica enterica
BIETRI	I	I - Salmonella enterica enterica
BISPEBJERG	I	I - Salmonella enterica enterica
BLEGDAM	I	I - Salmonella enterica enterica
BLOCKLEY	I	I - Salmonella enterica enterica
BLUKWA	I	I - Salmonella enterica enterica
BOCHUM	I	I - Salmonella enterica enterica
BONARIENSIS	I	I - Salmonella enterica enterica
BORBECK	I	I - Salmonella enterica enterica
BOUSSO	I	I - Salmonella enterica enterica
BOVISMORBIFICANS	I	I - Salmonella enterica enterica
BRADFORD	I	I - Salmonella enterica enterica
BRAENDERUP	I	I - Salmonella enterica enterica
BRANCASTER	I	I - Salmonella enterica enterica
BRANDENBURG	I	I - Salmonella enterica enterica
BRAZZAVILLE	I	I - Salmonella enterica enterica
BREDENEY	I	I - Salmonella enterica enterica
BREUKELEN	I	I - Salmonella enterica enterica
BRISTOL	I	I - Salmonella enterica enterica
BRON	I	I - Salmonella enterica enterica
BROUGHTON	I	I - Salmonella enterica enterica
BRUCK	I	I - Salmonella enterica enterica
BRUNEI	I	I - Salmonella enterica enterica
BULLBAY	I	I - Salmonella enterica enterica
BUTANTAN	I	I - Salmonella enterica enterica
CALIFORNIA	I	I - Salmonella enterica enterica
CANNSTATT	I	I - Salmonella enterica enterica
CARACAS	I	I - Salmonella enterica enterica
CARMEL	I	I - Salmonella enterica enterica
CARNO	I	I - Salmonella enterica enterica
CARRAU	I	I - Salmonella enterica enterica
CERRO	I	I - Salmonella enterica enterica
CHAILEY	I	I - Salmonella enterica enterica
CHAMPAIGN	I	I - Salmonella enterica enterica
CHANDANS	I	I - Salmonella enterica enterica
CHESTER	I	I - Salmonella enterica enterica
CHICAGO	I	I - Salmonella enterica enterica
CHINGOLA	I	I - Salmonella enterica enterica
CHOLERAESUIS	I	I - Salmonella enterica enterica
CHOLERAESUIS_VAR_KUNZENDORF	I	I - Salmonella enterica enterica
CHOMEDEY	I	I - Salmonella enterica enterica
CHRISTIANBORG	I	I - Salmonella enterica enterica
CLAIBORNEI	I	I - Salmonella enterica enterica
COELN	I	I - Salmonella enterica enterica
COLEYPARK	I	I - Salmonella enterica enterica
COLINDALE	I	I - Salmonella enterica enterica
COLORADO	I	I - Salmonella enterica enterica
CORVALLIS	I	I - Salmonella enterica enterica
COTHAM	I	I - Salmonella enterica enterica
CUBANA	I	I - Salmonella enterica enterica
DAHLEM	I	I - Salmonella enterica enterica
DERBY	I	I - Salmonella enterica enterica
DESSAU	I	I - Salmonella enterica enterica
DIEUPPEUL	I	I - Salmonella enterica enterica
DJUGU	I	I - Salmonella enterica enterica
DOUALA	I	I - Salmonella enterica enterica
DUBLIN	I	I - Salmonella enterica enterica
DUGBE	I	I - Salmonella enterica enterica
DUISBURG	I	I - Salmonella enterica enterica
DURBAN	I	I - Salmonella enterica enterica
DURHAM	I	I - Salmonella enterica enterica
EALING	I	I - Salmonella enterica enterica
EASTBOURNE	I	I - Salmonella enterica enterica
EDINBURG	I	I - Salmonella enterica enterica
ELIZABETHVILLE	I	I - Salmonella enterica enterica
ELOMRANE	I	I - Salmonella enterica enterica
EMEK	I	I - Salmonella enterica enterica
ENTERITIDIS	I	I - Salmonella enterica enterica
ESSEN	I	I - Salmonella enterica enterica
FALKENSEE	I	I - Salmonella enterica enterica
FISCHERKIETZ	I	I - Salmonella enterica enterica
FLORIDA	I	I - Salmonella enterica enterica
FLUNTERN	I	I - Salmonella enterica enterica
FREETOWN	I	I - Salmonella enterica enterica
FREIBURG	I	I - Salmonella enterica enterica
FRESNO	I	I - Salmonella enterica enterica
FRIEDENAU	I	I - Salmonella enterica enterica
FRIEDRICHSFELDE	I	I - Salmonella enterica enterica
FYRIS	I	I - Salmonella enterica enterica
GALLINARUM	I	I - Salmonella enterica enterica
GAMINARA	I	I - Salmonella enterica enterica
GATINEAU	I	I - Salmonella enterica enterica
GEORGIA	I	I - Salmonella enterica enterica
GERA	I	I - Salmonella enterica enterica
GIVE	I	I - Salmonella enterica enterica
GIZA	I	I - Salmonella enterica enterica
GLOSTRUP	I	I - Salmonella enterica enterica
GLOUCESTER	I	I - Salmonella enterica enterica
GODESBERG	I	I - Salmonella enterica enterica
GOETTINGEN	I	I - Salmonella enterica enterica
GOLDCOAST	I	I - Salmonella enterica enterica
GOMA	I	I - Salmonella enterica enterica
GRUMPENSIS	I	I - Salmonella enterica enterica
HAARDT	I	I - Salmonella enterica enterica
"11:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
"11:Z4,Z23:-"	IV	IV - Salmonella enterica houtenae
"13,22:G,M,T:1,5"	II	II - Salmonella enterica salamae
"13,22:Z29:1,5"	II	II - Salmonella enterica salamae
"13,23:G,Z51:-"	IIIa	IIIa - Salmonella enterica arizonae
"13,23:Z4,Z23,Z32:-"	IIIa	IIIa - Salmonella enterica arizonae
"13,23:Z4,Z24:-"	IIIa	IIIa - Salmonella enterica arizonae
"6,14:Z10:Z"	IIIb	IIIb - Salmonella enterica diarizonae
16:K:Z	IIIb	IIIb - Salmonella enterica diarizonae
"16:M,T:Z42"	II	II - Salmonella enterica salamae
"16:Z10:E,N,X,Z15"	IIIb	IIIb - Salmonella enterica diarizonae
"16:Z4,Z32:-"	IV	IV - Salmonella enterica houtenae
"17:L,V:Z35"	IIIb	IIIb - Salmonella enterica diarizonae
"18:L,V:Z"	IIIb	IIIb - Salmonella enterica diarizonae
"18:Z4,Z32:-"	IIIa	IIIa - Salmonella enterica arizonae
21:Z10:Z6	II	II - Salmonella enterica salamae
"21:Z4,Z23:-"	IV	IV - Salmonella enterica houtenae
"3,10:A:L,V"	II	II - Salmonella enterica salamae
"3,10:G,M,S,T:1,5"	II	II - Salmonella enterica salamae
"3,10:Z4,Z24:-"	II	II - Salmonella enterica salamae
"3,15:G,M,S,T:1,5"	II	II - Salmonella enterica salamae
38:R:Z	IIIb	IIIb - Salmonella enterica diarizonae
"38:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
"38:Z4,Z23:-"	IV	IV - Salmonella enterica houtenae
BRONX	I	I - Salmonella enterica enterica
"9,12:-:-NM"	I	I - Salmonella enterica enterica
"6,7:-:-NM"	I	I - Salmonella enterica enterica
INVERNESS	I	I - Salmonella enterica enterica
"13,22:Z:1,5"	II	II - Salmonella enterica salamae
AGO	I	Salmonella enterica enterica
"47:B:E,N,X,Z15"	II	II - Salmonella enterica salamae
GIVE VAR 15+ (NEWBRUNSWICK)	I	I - Salmonella enterica enterica
PARATYPHI_B_JAVA	I	I - Salmonella enterica enterica
ESCANABA	I	I - Salmonella enterica enterica
TYPH_COPEN	I	I - Salmonella enterica enterica
STM_COPEN	I	I - Salmonella enterica enterica
WINSLOW	I	I - Salmonella enterica enterica
"13,23:L28:Z6"	II	II - Salmonella enterica salamae
"13,23:L,Z28:Z6"	II	II - Salmonella enterica salamae
